Dest Lat,Dest Long,Source Lat,Source Lon
-50.2803,-72.0531,-54.8433,-68.2958
-34.8222,-58.5358,-54.8433,-68.2958
-34.5592,-58.4156,-54.8433,-68.2958
-51.6089,-69.3126,-53.7777,-67.7494
-34.5592,-58.4156,-53.7777,-67.7494
-51.6089,-69.3126,-53.0026,-70.8546
-45.9161,-71.6895,-53.0026,-70.8546
-41.4389,-73.094,-53.0026,-70.8546
-33.393,-70.7858,-53.0026,-70.8546
-53.0026,-70.8546,-51.8228,-58.4472
-54.8433,-68.2958,-51.6089,-69.3126
-53.7777,-67.7494,-51.6089,-69.3126
-51.8228,-58.4472,-51.6089,-69.3126
-45.7853,-67.4655,-51.6089,-69.3126
-34.5592,-58.4156,-51.6089,-69.3126
-54.8433,-68.2958,-50.2803,-72.0531
-34.8222,-58.5358,-50.2803,-72.0531
-34.5592,-58.4156,-50.2803,-72.0531
-43.4894,172.532,-46.4124,168.313
-41.3272,174.80499,-46.4124,168.313
-43.4894,172.532,-45.9281,170.198
-41.3272,174.80499,-45.9281,170.198
-37.0081,174.79201,-45.9281,170.198
-53.0026,-70.8546,-45.9161,-71.6895
-41.4389,-73.094,-45.9161,-71.6895
-33.393,-70.7858,-45.9161,-71.6895
-51.6089,-69.3126,-45.7853,-67.4655
-43.2105,-65.2703,-45.7853,-67.4655
-38.949,-68.1557,-45.7853,-67.4655
-34.5592,-58.4156,-45.7853,-67.4655
-43.4894,172.532,-45.0211,168.739
-41.3272,174.80499,-45.0211,168.739
-37.0081,174.79201,-45.0211,168.739
-33.9461,151.177,-45.0211,168.739
-41.3272,174.80499,-44.3028,171.22501
-46.4124,168.313,-43.4894,172.532
-45.9281,170.198,-43.4894,172.532
-45.0211,168.739,-43.4894,172.532
-42.7136,170.985,-43.4894,172.532
-41.5183,173.87,-43.4894,172.532
-41.3272,174.80499,-43.4894,172.532
-41.2983,173.22099,-43.4894,172.532
-40.9047,174.989,-43.4894,172.532
-40.3206,175.617,-43.4894,172.532
-39.4658,176.86999,-43.4894,172.532
-39.0086,174.179,-43.4894,172.532
-38.1092,176.317,-43.4894,172.532
-37.8667,175.332,-43.4894,172.532
-37.6733,144.843,-43.4894,172.532
-37.6719,176.196,-43.4894,172.532
-37.0081,174.79201,-43.4894,172.532
-33.9461,151.177,-43.4894,172.532
-28.1644,153.505,-43.4894,172.532
-27.3842,153.117,-43.4894,172.532
1.35019,103.994,-43.4894,172.532
-45.7853,-67.4655,-43.2105,-65.2703
-42.908,-71.1395,-43.2105,-65.2703
-41.1512,-71.1575,-43.2105,-65.2703
-38.725,-62.1693,-43.2105,-65.2703
-34.8222,-58.5358,-43.2105,-65.2703
-34.5592,-58.4156,-43.2105,-65.2703
-45.7853,-67.4655,-42.908,-71.1395
-41.1512,-71.1575,-42.908,-71.1395
-34.5592,-58.4156,-42.908,-71.1395
-37.6733,144.843,-42.8361,147.50999
-33.9461,151.177,-42.8361,147.50999
-27.3842,153.117,-42.8361,147.50999
-34.5592,-58.4156,-42.7592,-65.1027
-43.4894,172.532,-42.7136,170.985
-41.4389,-73.094,-42.34039,-73.71569
-41.3272,174.80499,-41.7381,171.58099
-40.9989,145.731,-41.5453,147.214
-40.0917,147.993,-41.5453,147.214
-37.6733,144.843,-41.5453,147.214
-33.9461,151.177,-41.5453,147.214
-27.3842,153.117,-41.5453,147.214
-43.4894,172.532,-41.5183,173.87
-41.3272,174.80499,-41.5183,173.87
-37.0081,174.79201,-41.5183,173.87
-53.0026,-70.8546,-41.4389,-73.094
-45.9161,-71.6895,-41.4389,-73.094
-42.34039,-73.71569,-41.4389,-73.094
-36.7727,-73.0631,-41.4389,-73.094
-33.393,-70.7858,-41.4389,-73.094
-46.4124,168.313,-41.3272,174.80499
-45.9281,170.198,-41.3272,174.80499
-45.0211,168.739,-41.3272,174.80499
-44.3028,171.22501,-41.3272,174.80499
-43.4894,172.532,-41.3272,174.80499
-41.7381,171.58099,-41.3272,174.80499
-41.5183,173.87,-41.3272,174.80499
-41.2983,173.22099,-41.3272,174.80499
-40.3206,175.617,-41.3272,174.80499
-39.4658,176.86999,-41.3272,174.80499
-39.0086,174.179,-41.3272,174.80499
-38.7397,176.084,-41.3272,174.80499
-38.6633,177.978,-41.3272,174.80499
-38.1092,176.317,-41.3272,174.80499
-37.8667,175.332,-41.3272,174.80499
-37.6733,144.843,-41.3272,174.80499
-37.6719,176.196,-41.3272,174.80499
-37.0081,174.79201,-41.3272,174.80499
-35.7683,174.36501,-41.3272,174.80499
-33.9461,151.177,-41.3272,174.80499
-27.3842,153.117,-41.3272,174.80499
-43.4894,172.532,-41.2983,173.22099
-41.3272,174.80499,-41.2983,173.22099
-40.3206,175.617,-41.2983,173.22099
-37.0081,174.79201,-41.2983,173.22099
-37.6733,144.843,-41.1697,146.42999
-45.7853,-67.4655,-41.1512,-71.1575
-42.908,-71.1395,-41.1512,-71.1575
-34.8222,-58.5358,-41.1512,-71.1575
-34.5592,-58.4156,-41.1512,-71.1575
-32.8317,-68.7929,-41.1512,-71.1575
-31.3236,-64.208,-41.1512,-71.1575
-41.5453,147.214,-40.9989,145.731
-39.8775,143.87801,-40.9989,145.731
-37.6733,144.843,-40.9989,145.731
-43.4894,172.532,-40.9047,174.989
-37.0081,174.79201,-40.9047,174.989
-43.2105,-65.2703,-40.8692,-63.0004
-39.65,-73.0861,-40.6112,-73.061
-43.4894,172.532,-40.3206,175.617
-41.3272,174.80499,-40.3206,175.617
